Australian Bureau of Statistics

"2016 Census - Counting Dwellings, Place of Enumeration (MB)"
"SA1 and HHCD - 2 Digit Level"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"Counting","SA1","HHCD - 2 Digit Level","Count",
"Dwellings Location on Census Night","2111301","One family household with only family members present",0
"Dwellings Location on Census Night","2111301","One family household with non-family members present",0
"Dwellings Location on Census Night","2111301","Two family household",0
"Dwellings Location on Census Night","2111301","Three or more family household",0
"Dwellings Location on Census Night","2111301","Lone person household",0
"Dwellings Location on Census Night","2111301","Group household",0
"Dwellings Location on Census Night","2111301","Visitors only",0
"Dwellings Location on Census Night","2111301","Other non-classifiable",0
"Dwellings Location on Census Night","2111301","Not applicable",0
"Dwellings Location on Census Night","2111302","One family household with only family members present",98
"Dwellings Location on Census Night","2111302","One family household with non-family members present",5
"Dwellings Location on Census Night","2111302","Two family household",4
"Dwellings Location on Census Night","2111302","Three or more family household",0
"Dwellings Location on Census Night","2111302","Lone person household",48
"Dwellings Location on Census Night","2111302","Group household",10
"Dwellings Location on Census Night","2111302","Visitors only",3
"Dwellings Location on Census Night","2111302","Other non-classifiable",6
"Dwellings Location on Census Night","2111302","Not applicable",6
"Dwellings Location on Census Night","2111303","One family household with only family members present",149
"Dwellings Location on Census Night","2111303","One family household with non-family members present",0
"Dwellings Location on Census Night","2111303","Two family household",7
"Dwellings Location on Census Night","2111303","Three or more family household",0
"Dwellings Location on Census Night","2111303","Lone person household",40
"Dwellings Location on Census Night","2111303","Group household",9
"Dwellings Location on Census Night","2111303","Visitors only",0
"Dwellings Location on Census Night","2111303","Other non-classifiable",3
"Dwellings Location on Census Night","2111303","Not applicable",10
"Dwellings Location on Census Night","2111304","One family household with only family members present",156
"Dwellings Location on Census Night","2111304","One family household with non-family members present",3
"Dwellings Location on Census Night","2111304","Two family household",3
"Dwellings Location on Census Night","2111304","Three or more family household",0
"Dwellings Location on Census Night","2111304","Lone person household",55
"Dwellings Location on Census Night","2111304","Group household",8
"Dwellings Location on Census Night","2111304","Visitors only",0
"Dwellings Location on Census Night","2111304","Other non-classifiable",3
"Dwellings Location on Census Night","2111304","Not applicable",13
"Dwellings Location on Census Night","2111305","One family household with only family members present",202
"Dwellings Location on Census Night","2111305","One family household with non-family members present",9
"Dwellings Location on Census Night","2111305","Two family household",4
"Dwellings Location on Census Night","2111305","Three or more family household",0
"Dwellings Location on Census Night","2111305","Lone person household",79
"Dwellings Location on Census Night","2111305","Group household",27
"Dwellings Location on Census Night","2111305","Visitors only",5
"Dwellings Location on Census Night","2111305","Other non-classifiable",6
"Dwellings Location on Census Night","2111305","Not applicable",36
"Dwellings Location on Census Night","2111306","One family household with only family members present",179
"Dwellings Location on Census Night","2111306","One family household with non-family members present",3
"Dwellings Location on Census Night","2111306","Two family household",0
"Dwellings Location on Census Night","2111306","Three or more family household",0
"Dwellings Location on Census Night","2111306","Lone person household",45
"Dwellings Location on Census Night","2111306","Group household",7
"Dwellings Location on Census Night","2111306","Visitors only",0
"Dwellings Location on Census Night","2111306","Other non-classifiable",3
"Dwellings Location on Census Night","2111306","Not applicable",26
"Dwellings Location on Census Night","2111307","One family household with only family members present",325
"Dwellings Location on Census Night","2111307","One family household with non-family members present",7
"Dwellings Location on Census Night","2111307","Two family household",5
"Dwellings Location on Census Night","2111307","Three or more family household",0
"Dwellings Location on Census Night","2111307","Lone person household",79
"Dwellings Location on Census Night","2111307","Group household",29
"Dwellings Location on Census Night","2111307","Visitors only",0
"Dwellings Location on Census Night","2111307","Other non-classifiable",13
"Dwellings Location on Census Night","2111307","Not applicable",26
"Dwellings Location on Census Night","2111308","One family household with only family members present",98
"Dwellings Location on Census Night","2111308","One family household with non-family members present",6
"Dwellings Location on Census Night","2111308","Two family household",0
"Dwellings Location on Census Night","2111308","Three or more family household",0
"Dwellings Location on Census Night","2111308","Lone person household",27
"Dwellings Location on Census Night","2111308","Group household",11
