Counting,SA1 (UR),LANP - 4 Digit Level,Count
"Persons, Place of Usual Residence",2111302,English,283
"Persons, Place of Usual Residence",2111302,French,5
"Persons, Place of Usual Residence",2111302,Greek,9
"Persons, Place of Usual Residence",2111302,Spanish,5
"Persons, Place of Usual Residence",2111302,Italian,17
"Persons, Place of Usual Residence",2111302,Maltese,8
"Persons, Place of Usual Residence",2111302,Croatian,3
"Persons, Place of Usual Residence",2111302,Arabic,9
"Persons, Place of Usual Residence",2111302,Bengali,3
"Persons, Place of Usual Residence",2111302,Nepali,6
"Persons, Place of Usual Residence",2111302,Punjabi,3
"Persons, Place of Usual Residence",2111302,Vietnamese,6
"Persons, Place of Usual Residence",2111302,Cebuano,3
"Persons, Place of Usual Residence",2111302,Cantonese,11
"Persons, Place of Usual Residence",2111302,Mandarin,3
"Persons, Place of Usual Residence",2111302,Shona,3
"Persons, Place of Usual Residence",2111302,Swahili,3
"Persons, Place of Usual Residence",2111302,Not stated,30
"Persons, Place of Usual Residence",2111303,English,453
"Persons, Place of Usual Residence",2111303,German,4
"Persons, Place of Usual Residence",2111303,Dutch,5
"Persons, Place of Usual Residence",2111303,Afrikaans,5
"Persons, Place of Usual Residence",2111303,French,8
"Persons, Place of Usual Residence",2111303,Greek,8
"Persons, Place of Usual Residence",2111303,Spanish,10
"Persons, Place of Usual Residence",2111303,Italian,33
"Persons, Place of Usual Residence",2111303,Croatian,3
"Persons, Place of Usual Residence",2111303,Macedonian,4
"Persons, Place of Usual Residence",2111303,Polish,5
"Persons, Place of Usual Residence",2111303,Arabic,4
"Persons, Place of Usual Residence",2111303,Punjabi,3
"Persons, Place of Usual Residence",2111303,Urdu,3
"Persons, Place of Usual Residence",2111303,Vietnamese,14
"Persons, Place of Usual Residence",2111303,Cantonese,10
"Persons, Place of Usual Residence",2111303,Mandarin,6
"Persons, Place of Usual Residence",2111303,"Non-verbal, so described",3
"Persons, Place of Usual Residence",2111303,"Spanish Creole, nfd",6
"Persons, Place of Usual Residence",2111303,Not stated,16
"Persons, Place of Usual Residence",2111304,English,498
"Persons, Place of Usual Residence",2111304,Swedish,3
"Persons, Place of Usual Residence",2111304,Greek,11
"Persons, Place of Usual Residence",2111304,Spanish,3
"Persons, Place of Usual Residence",2111304,Italian,35
"Persons, Place of Usual Residence",2111304,Croatian,6
"Persons, Place of Usual Residence",2111304,Vietnamese,7
"Persons, Place of Usual Residence",2111304,Filipino,3
"Persons, Place of Usual Residence",2111304,Cantonese,5
"Persons, Place of Usual Residence",2111304,Hakka,3
"Persons, Place of Usual Residence",2111304,Mandarin,3
"Persons, Place of Usual Residence",2111304,Not stated,15
"Persons, Place of Usual Residence",2111305,English,581
"Persons, Place of Usual Residence",2111305,Dutch,3
"Persons, Place of Usual Residence",2111305,Estonian,4
"Persons, Place of Usual Residence",2111305,French,3
"Persons, Place of Usual Residence",2111305,Greek,14
"Persons, Place of Usual Residence",2111305,Spanish,20
"Persons, Place of Usual Residence",2111305,Italian,34
"Persons, Place of Usual Residence",2111305,Russian,6
"Persons, Place of Usual Residence",2111305,"Serbo-Croatian/Yugoslavian, so described",4
"Persons, Place of Usual Residence",2111305,Arabic,9
"Persons, Place of Usual Residence",2111305,Sinhalese,5
"Persons, Place of Usual Residence",2111305,Khmer,7
"Persons, Place of Usual Residence",2111305,Vietnamese,7
"Persons, Place of Usual Residence",2111305,Thai,4
"Persons, Place of Usual Residence",2111305,Cantonese,7
"Persons, Place of Usual Residence",2111305,Mandarin,23
"Persons, Place of Usual Residence",2111305,Min Nan,3
"Persons, Place of Usual Residence",2111305,Korean,3
"Persons, Place of Usual Residence",2111305,Somali,7
"Persons, Place of Usual Residence",2111305,Not stated,25
"Persons, Place of Usual Residence",2111306,English,579
"Persons, Place of Usual Residence",2111306,Greek,12
"Persons, Place of Usual Residence",2111306,Italian,21
