sa1,lang1,lang1_count,lang2,lang2_count,lang3,lang3_count
2111302,Italian,17,Cantonese,11,Greek,9
2111303,Italian,33,Vietnamese,14,Spanish,10
2111304,Italian,35,Greek,11,Vietnamese,7
2111305,Italian,34,Mandarin,23,Spanish,20
2111306,Italian,21,Greek,12,Mandarin,10
2111307,Cantonese,71,Vietnamese,49,Mandarin,35
2111308,Greek,14,Italian,11,Vietnamese,9
2111309,Greek,17,Italian,12,Hindi,12
2111310,Italian,31,Greek,12,Vietnamese,10
2111311,Italian,26,Greek,12,Vietnamese,9
2111312,Mandarin,20,Cantonese,14,Greek,12
2111313,Italian,36,Greek,21,French,7
2111314,Italian,24,Greek,14,Mandarin,9
2111315,Italian,26,Greek,14,Macedonian,8
2111316,Vietnamese,65,Somali,25,Arabic,23
2111317,Arabic,55,Amharic,37,Somali,35
2111318,Arabic,30,Somali,27,Vietnamese,22
2111319,Mandarin,32,Cantonese,30,Italian,24
2111320,Vietnamese,39,Arabic,20,Italian,19
2111321,Arabic,47,Somali,43,Vietnamese,36
2111322,Italian,22,Greek,17,Cantonese,8
2111323,Italian,26,Greek,11,Cantonese,11
2111324,Greek,30,Italian,15,Mandarin,12
2111325,Greek,16,Italian,15,Ukrainian,6
2111326,Mandarin,18,Italian,13,Cantonese,13
2111327,Greek,26,Vietnamese,18,Italian,15
2111328,Italian,22,Vietnamese,9,Arabic,5
2111329,Greek,21,Turkish,13,Italian,8
2111330,Italian,17,Hindi,12,Urdu,8
2111331,Vietnamese,19,Spanish,11,Italian,11
2111332,Vietnamese,72,Somali,17,Spanish,11
2111401,Italian,16,Hindi,10,Greek,8
2111402,Italian,17,Nepali,16,Malayalam,12
2111403,Italian,21,Greek,15,Vietnamese,14
2111404,Italian,40,Greek,21,Cantonese,19
2111405,Italian,33,Hindi,13,Spanish,11
2111406,Italian,69,Mandarin,8,Polish,7
2111407,Italian,36,Mandarin,14,Croatian,12
2111408,Croatian,20,Hindi,11,Italian,8
2111409,Italian,27,Mandarin,21,Sinhalese,10
2111410,Italian,27,Greek,22,Tamil,8
2111411,Italian,19,Greek,15,Cantonese,9
2111412,Italian,28,Greek,20,Vietnamese,15
2111413,Italian,35,Arabic,35,Greek,13
2111414,Italian,26,Croatian,22,Somali,19
2111415,Italian,11,Nepali,11,German,9
2111416,Greek,20,Italian,20,Ukrainian,9
2111417,Greek,24,Italian,24,Mandarin,8
2111418,Greek,16,Italian,16,Vietnamese,14
2111419,Italian,10,Mandarin,4,Ukrainian,3
2111420,Italian,47,Greek,11,Vietnamese,10
2111421,Italian,29,Greek,18,Arabic,6
2111422,Italian,30,Greek,19,Polish,6
2111423,Greek,16,Hindi,12,Mandarin,11
2111424,Greek,15,Italian,6,Hindi,5
2111425,Italian,40,Greek,16,Malayalam,7
2111426,Italian,62,Greek,17,Arabic,11
2111427,Hindi,52,Italian,37,Spanish,23
2111428,Hindi,22,Italian,20,Nepali,11
2111429,Greek,18,Italian,15,Spanish,8
2111430,Italian,12,Greek,7,Latvian,4
2111431,Italian,19,Nepali,18,Korean,15
2111432,Italian,18,Hindi,18,Mandarin,16
2111433,Italian,26,Hindi,16,Sinhalese,10
2111434,Italian,26,Punjabi,5,Cantonese,5
2111435,Italian,38,Greek,36,Croatian,9
2111436,Greek,20,Mandarin,14,Italian,8
2111437,Greek,33,Italian,24,Mandarin,22
2111438,Italian,21,Spanish,12,Gujarati,11
2111439,Italian,34,Mandarin,14,Punjabi,7
2111440,Italian,27,Gujarati,12,Spanish,11
2111441,Italian,38,Mandarin,12,Hindi,10
2111442,Italian,29,Arabic,10,Greek,8
2111443,Italian,20,Gujarati,17,Mandarin,17
2111444,Italian,32,Spanish,19,Mandarin,19
2111445,Telugu,17,Italian,14,Arabic,14
2111446,Greek,10,Hindi,10,Persian (excluding Dari),8
2111447,Italian,29,Hindi,11,Mandarin,7
2111448,Greek,28,Italian,14,Korean,4
2111449,Italian,27,Greek,13,Mandarin,11
