sa1,hhcd_2_digit_level,count,pct
2111302,Lone person household,48,27.6
2111303,Lone person household,40,19.2
2111304,Lone person household,55,24.1
2111305,Lone person household,79,23.8
2111306,Lone person household,45,19
2111307,Lone person household,79,17.2
2111308,Lone person household,27,18.1
2111309,Lone person household,38,23.6
2111310,Lone person household,36,31.6
2111311,Lone person household,63,24.9
2111312,Lone person household,82,33.5
2111313,Lone person household,40,24.7
2111314,Lone person household,49,29.2
2111315,Lone person household,47,24.1
2111316,Lone person household,48,28.9
2111317,Lone person household,106,39.6
2111318,Lone person household,65,35.9
2111319,Lone person household,80,32.5
2111320,Lone person household,43,28.5
2111321,Lone person household,56,27.6
2111322,Lone person household,45,28.8
2111323,Lone person household,60,33.9
2111324,Lone person household,59,26.9
2111325,Lone person household,31,21.7
2111326,Lone person household,49,25
2111327,Lone person household,55,24.9
2111328,Lone person household,60,34.5
2111329,Lone person household,9,11.8
2111330,Lone person household,33,24.8
2111331,Lone person household,39,27.9
2111332,Lone person household,27,29.3
2111401,Lone person household,35,35
2111402,Lone person household,100,38.3
2111403,Lone person household,49,29
2111404,Lone person household,59,33
2111405,Lone person household,54,34
2111406,Lone person household,37,19.6
2111407,Lone person household,57,25.1
2111408,Lone person household,39,24.8
2111409,Lone person household,45,21.5
2111410,Lone person household,47,21.6
2111411,Lone person household,21,19.6
2111412,Lone person household,23,18.4
2111413,Lone person household,52,20.8
2111414,Lone person household,18,10.1
2111415,Lone person household,23,23.7
2111416,Lone person household,11,9.2
2111417,Lone person household,20,14.9
2111418,Lone person household,28,18.8
2111419,Lone person household,29,26.4
2111420,Lone person household,9,8.5
2111421,Lone person household,36,20.2
2111422,Lone person household,20,18.5
2111423,Lone person household,53,28.8
2111424,Lone person household,33,25.4
2111425,Lone person household,24,14
2111426,Lone person household,41,20.3
2111427,Lone person household,216,38.6
2111428,Lone person household,71,31.6
2111429,Lone person household,32,23.2
2111430,Lone person household,19,17
2111431,Lone person household,35,29.9
2111432,Lone person household,96,37.1
2111433,Lone person household,81,37
2111434,Lone person household,18,17.6
2111435,Lone person household,50,23
2111436,Lone person household,36,24.2
2111437,Lone person household,58,25.2
2111438,Lone person household,56,28
2111439,Lone person household,19,18.1
2111440,Lone person household,92,42
2111441,Lone person household,99,34.6
2111442,Lone person household,48,22.4
2111443,Lone person household,121,45
2111444,Lone person household,167,36.4
2111445,Lone person household,72,35
2111446,Lone person household,48,27
2111447,Lone person household,51,33.8
2111448,Lone person household,27,22.3
2111449,Lone person household,34,20
2111450,Lone person household,51,37
2111451,Lone person household,33,30.3
2111452,Lone person household,69,29.6
2111453,Lone person household,16,11.9
2111454,Lone person household,14,12.7
2111455,Lone person household,26,25
2111456,Lone person household,50,35.7
2111457,Lone person household,42,30.9
2111458,Lone person household,53,32.5
2111459,Lone person household,31,24
2111460,Lone person household,49,29.2
2111461,Lone person household,60,29.1
2111501,Lone person household,72,39.8
2111502,Lone person household,57,29.4
2111503,Lone person household,53,34
2111504,Lone person household,47,32.4
2111505,Lone person household,76,34.9
2111506,Lone person household,35,24.6
2111507,Lone person household,82,35.7
2111508,Lone person household,79,27.9
2111509,Lone person household,48,38.1
2111510,Lone person household,95,43.6
2111511,Lone person household,80,35.6
2111512,Lone person household,107,39.1
2111513,Lone person household,37,21.5
2111514,Lone person household,37,30.1
2111515,Lone person household,67,33.8
2111516,Lone person household,49,25
2111519,Lone person household,50,29.6
2111520,Lone person household,53,29.6
2111521,Lone person household,26,26.3
2111522,Lone person household,72,42.9
2111523,Lone person household,183,25
2111524,Lone person household,16,21.9
2111601,Lone person household,22,15.6
2111602,Lone person household,147,53.1
2111603,Lone person household,15,9.6
2111604,Lone person household,28,16.7
2111605,Lone person household,113,37.3
2111606,Lone person household,30,19.7
2111607,Lone person household,66,34
2111608,Lone person household,36,22.2
2111609,Lone person household,40,27.4
2111610,Lone person household,24,16.3
2111611,Lone person household,32,22.1
2111612,Lone person household,36,21.1
2111613,Lone person household,53,22.6
2111614,Lone person household,44,24.6
2111615,Lone person household,59,24
2111616,Lone person household,69,35
2111617,Lone person household,61,29.2
2111618,Lone person household,65,27
2111619,Lone person household,56,30.8
2111620,Lone person household,30,21.9
2111621,Lone person household,37,21.1
2111622,Lone person household,47,25.4
2111623,Lone person household,45,21.4
2111624,Lone person household,38,24.5
2111625,Lone person household,70,34.7
2111626,Lone person household,51,25.1
2111627,Lone person household,31,21.8
2111628,Lone person household,73,37.6
2111630,Lone person household,36,27.5
2111631,Lone person household,74,32
2111632,Lone person household,22,20.8
2122601,Lone person household,37,25.3
2122602,Lone person household,106,35
2122603,Lone person household,74,27
2122604,Lone person household,74,29.8
